
Date: 30/01/2023 17:51:10
Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 135
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Wvl (nm)	 CH 1 	 CH 2 

1460,0000	-58,2923	-57,0093
1460,0080	-58,4259	-57,0538
1460,0160	-58,2994	-57,2312
1460,0240	-58,5299	-57,7516
1460,0320	-58,9543	-58,3274
1460,0400	-59,4779	-58,7365
1460,0480	-58,7477	-58,3812
1460,0560	-59,2699	-58,6454
1460,0640	-59,7456	-58,0251
1460,0720	-59,3310	-58,0000
1460,0800	-58,8426	-58,0194
1460,0880	-59,0794	-59,1228
1460,0960	-58,9396	-58,7753
1460,1040	-59,5657	-58,6841
1460,1120	-59,1040	-58,1199
1460,1200	-59,3640	-57,9447
1460,1280	-59,5791	-58,5298
1460,1360	-59,3725	-58,6662
1460,1440	-59,1384	-58,8062
1460,1520	-59,0443	-57,7416
1460,1600	-59,3570	-58,4401
1460,1680	-59,4462	-57,9325
1460,1760	-58,7618	-57,8952
1460,1840	-59,1160	-58,1996
1460,1920	-58,8721	-58,2656
1460,2000	-58,4807	-58,4559
1460,2080	-58,6831	-58,3546
1460,2160	-58,8089	-58,7121
1460,2240	-58,6978	-57,8830
1460,2320	-58,9606	-58,9569
1460,2400	-59,4659	-57,9404
1460,2480	-59,4041	-57,2534
1460,2560	-59,1455	-57,4760
1460,2640	-59,0485	-57,9548
1460,2720	-59,4884	-57,0854
1460,2800	-59,2959	-57,0503
1460,2880	-59,1862	-57,9871
1460,2960	-59,4413	-58,6669
1460,3040	-59,5186	-57,9476
1460,3120	-58,9262	-58,0101
1460,3200	-59,0295	-58,3790
1460,3280	-59,2453	-58,8485
1460,3360	-58,7878	-59,0983
1460,3440	-58,6093	-58,1220
1460,3520	-58,6304	-57,2556
1460,3600	-58,9171	-57,4092
1460,3680	-59,3942	-57,5571
1460,3760	-59,5123	-56,3044
1460,3840	-59,4722	-56,9698
1460,3920	-59,5151	-57,6403
1460,4000	-59,8609	-57,5951
1460,4080	-59,8187	-57,5499
1460,4160	-59,3169	-56,8701
1460,4240	-58,9789	-56,6375
1460,4320	-59,3781	-57,7164
1460,4400	-59,5285	-58,2663
1460,4480	-59,0394	-58,8105
1460,4560	-58,7266	-57,8866
1460,4640	-59,1174	-58,7796
1460,4720	-59,6845	-59,1342
1460,4800	-59,8517	-58,0804
1460,4880	-58,9740	-57,6195
1460,4960	-59,0647	-58,0524
1460,5040	-58,7892	-58,0646
1460,5120	-57,7414	-57,3604
1460,5200	-58,9375	-57,8737
1460,5280	-58,4027	-57,8772
1460,5360	-58,0183	-57,7021
1460,5440	-58,4694	-58,2556
1460,5520	-58,9838	-58,0258
1460,5600	-58,6240	-57,5922
1460,5680	-58,5151	-57,8356
1460,5760	-59,6198	-58,2111
1460,5840	-58,9775	-57,9512
1460,5920	-58,7934	-57,7128
1460,6000	-59,3549	-57,7645
1460,6080	-59,0190	-57,8636
1460,6160	-58,1286	-58,1888
1460,6240	-58,2874	-58,0739
1460,6320	-58,3387	-57,5140
1460,6400	-58,8749	-57,9189
1460,6480	-58,9923	-57,9469
1460,6560	-58,7379	-58,0230
1460,6640	-58,5657	-58,3970
1460,6720	-59,3774	-58,6856
1460,6800	-59,0204	-57,3266
1460,6880	-58,9866	-56,9060
1460,6960	-59,2769	-56,5578
1460,7040	-59,3359	-57,1407
1460,7120	-59,2902	-57,2053
1460,7200	-59,0126	-58,1953
1460,7280	-59,1293	-57,8385
1460,7360	-59,1764	-56,6059
1460,7440	-59,2186	-57,8959
1460,7520	-59,5566	-58,7889
1460,7600	-58,9986	-58,2821
1460,7680	-58,7533	-58,3927
1460,7760	-58,5397	-57,9756
1460,7840	-58,8159	-57,9813
1460,7920	-59,2713	-58,3510
1460,8000	-58,7632	-57,9153
1460,8080	-59,1504	-57,3410
1460,8160	-58,8784	-57,0811
1460,8240	-58,5032	-58,8033
1460,8320	-59,1722	-58,8808
1460,8400	-59,4118	-56,6805
1460,8480	-59,2129	-57,3733
1460,8560	-59,6873	-57,6368
1460,8640	-59,7695	-57,8873
1460,8720	-59,7098	-57,3518
1460,8800	-59,5221	-57,5018
1460,8880	-59,6015	-57,7516
1460,8960	-59,6739	-57,6468
1460,9040	-59,6943	-57,3015
1460,9120	-59,6908	-58,0524
1460,9200	-59,3183	-58,0208
1460,9280	-59,2860	-58,4745
1460,9360	-59,4216	-58,5061
1460,9440	-59,0162	-57,5671
1460,9520	-58,9606	-57,2821
1460,9600	-59,0815	-58,3467
1460,9680	-58,7822	-58,8413
1460,9760	-59,1834	-58,3259
1460,9840	-58,9613	-58,5951
1460,9920	-58,5924	-58,5355
1461,0000	-58,7456	-58,1845
1461,0080	-59,5411	-58,7294
1461,0160	-58,6943	-57,9081
1461,0240	-59,5004	-58,5212
1461,0320	-58,5770	-58,3496
1461,0400	-58,4160	-58,3381
1461,0480	-58,8707	-58,4889
1461,0560	-58,9747	-58,1665
1461,0640	-58,8391	-58,8356
1461,0720	-59,1293	-58,8801
1461,0800	-59,5186	-59,1859
1461,0880	-59,3921	-58,7681
1461,0960	-59,1785	-57,9964
1461,1040	-59,3942	-58,5915
1461,1120	-58,4575	-58,4838
1461,1200	-58,4315	-57,8528
1461,1280	-58,8756	-58,4307
1461,1360	-59,0112	-58,6016
1461,1440	-58,2059	-58,2620
1461,1520	-58,5306	-58,6877
1461,1600	-58,9740	-59,0682
1461,1680	-59,4118	-58,8241
1461,1760	-59,1982	-58,7739
1461,1840	-58,9122	-58,9462
1461,1920	-59,5917	-58,9684
1461,2000	-59,4160	-58,2146
1461,2080	-58,8482	-57,8069
1461,2160	-59,4758	-58,5922
1461,2240	-58,8489	-57,2922
1461,2320	-59,5882	-58,2484
1461,2400	-59,3668	-57,6863
1461,2480	-58,6880	-58,4472
1461,2560	-58,7351	-58,1170
1461,2640	-59,6001	-58,0122
1461,2720	-59,4807	-59,0395
1461,2800	-59,0780	-58,8112
1461,2880	-58,9206	-58,3352
1461,2960	-59,3970	-57,8564
1461,3040	-58,6859	-58,5879
1461,3120	-59,1546	-58,5937
1461,3200	-59,4968	-58,6317
1461,3280	-58,9065	-57,6791
1461,3360	-58,5172	-58,4724
1461,3440	-58,8587	-57,8184
1461,3520	-58,7484	-57,6009
1461,3600	-58,3626	-57,9174
1461,3680	-58,2368	-57,6992
1461,3760	-58,9585	-58,1019
1461,3840	-58,3570	-58,6691
1461,3920	-59,3556	-57,7631
1461,4000	-58,4617	-57,2907
1461,4080	-58,6058	-57,4767
1461,4160	-59,5418	-57,7452
1461,4240	-59,2045	-57,4688
1461,4320	-59,1750	-58,0014
1461,4400	-59,2741	-57,5657
1461,4480	-59,8032	-58,2182
1461,4560	-59,0773	-57,9411
1461,4640	-59,0239	-57,0897
1461,4720	-58,8616	-57,8701
1461,4800	-58,4694	-57,9943
1461,4880	-58,8124	-58,5477
1461,4960	-58,6845	-57,6202
1461,5040	-59,0647	-57,8737
1461,5120	-59,3598	-57,6533
1461,5200	-59,8229	-57,5872
1461,5280	-58,9375	-58,1077
1461,5360	-59,2171	-58,0912
1461,5440	-58,9923	-58,6920
1461,5520	-59,1574	-59,0022
1461,5600	-59,0696	-57,8830
1461,5680	-59,4055	-57,7286
1461,5760	-59,8524	-58,2778
1461,5840	-59,1743	-57,8299
1461,5920	-59,2375	-59,1019
