
Date: 30/01/2023 17:56:37
Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 135
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Wvl (nm)	 CH 1 	 CH 2 

1460,0000	-58,2923	-58,5492
1460,0080	-58,4259	-58,3209
1460,0160	-58,2994	-59,0933
1460,0240	-58,5299	-58,4307
1460,0320	-58,9543	-58,1543
1460,0400	-59,4779	-59,2125
1460,0480	-58,7477	-58,1141
1460,0560	-59,2699	-58,1213
1460,0640	-59,7456	-58,6253
1460,0720	-59,3310	-58,4085
1460,0800	-58,8426	-57,6217
1460,0880	-59,0794	-57,2958
1460,0960	-58,9396	-58,1292
1460,1040	-59,5657	-58,4042
1460,1120	-59,1040	-58,6080
1460,1200	-59,3640	-58,6648
1460,1280	-59,5791	-58,4250
1460,1360	-59,3725	-58,6597
1460,1440	-59,1384	-58,8392
1460,1520	-59,0443	-58,0144
1460,1600	-59,3570	-57,8629
1460,1680	-59,4462	-57,8349
1460,1760	-58,7618	-58,4307
1460,1840	-59,1160	-58,1981
1460,1920	-58,8721	-57,6533
1460,2000	-58,4807	-57,6547
1460,2080	-58,6831	-58,0696
1460,2160	-58,8089	-58,3647
1460,2240	-58,6978	-58,9239
1460,2320	-58,9606	-57,4939
1460,2400	-59,4659	-58,4501
1460,2480	-59,4041	-59,1120
1460,2560	-59,1455	-57,8658
1460,2640	-59,0485	-57,6633
1460,2720	-59,4884	-57,6210
1460,2800	-59,2959	-58,2505
1460,2880	-59,1862	-58,7373
1460,2960	-59,4413	-58,8744
1460,3040	-59,5186	-58,0136
1460,3120	-58,9262	-57,9993
1460,3200	-59,0295	-57,5140
1460,3280	-59,2453	-57,4465
1460,3360	-58,7878	-58,6712
1460,3440	-58,6093	-58,4027
1460,3520	-58,6304	-58,1378
1460,3600	-58,9171	-58,7136
1460,3680	-59,3942	-59,0531
1460,3760	-59,5123	-58,3159
1460,3840	-59,4722	-57,7746
1460,3920	-59,5151	-57,8220
1460,4000	-59,8609	-58,0036
1460,4080	-59,8187	-58,8973
1460,4160	-59,3169	-58,3704
1460,4240	-58,9789	-57,7796
1460,4320	-59,3781	-57,9806
1460,4400	-59,5285	-58,3367
1460,4480	-59,0394	-57,9225
1460,4560	-58,7266	-57,5449
1460,4640	-59,1174	-58,4472
1460,4720	-59,6845	-59,1314
1460,4800	-59,8517	-57,4781
1460,4880	-58,9740	-59,1005
1460,4960	-59,0647	-58,4559
1460,5040	-58,7892	-57,5205
1460,5120	-57,7414	-57,6159
1460,5200	-58,9375	-58,9074
1460,5280	-58,4027	-57,8500
1460,5360	-58,0183	-57,0122
1460,5440	-58,4694	-56,7121
1460,5520	-58,9838	-57,5219
1460,5600	-58,6240	-58,0732
1460,5680	-58,5151	-57,9950
1460,5760	-59,6198	-57,0459
1460,5840	-58,9775	-57,2606
1460,5920	-58,7934	-58,0531
1460,6000	-59,3549	-58,2340
1460,6080	-59,0190	-58,1989
1460,6160	-58,1286	-58,7229
1460,6240	-58,2874	-58,5118
1460,6320	-58,3387	-57,4200
1460,6400	-58,8749	-58,1414
1460,6480	-58,9923	-56,6360
1460,6560	-58,7379	-57,6870
1460,6640	-58,5657	-58,2319
1460,6720	-59,3774	-57,9935
1460,6800	-59,0204	-57,8780
1460,6880	-58,9866	-58,1299
1460,6960	-59,2769	-57,2448
1460,7040	-59,3359	-56,3281
1460,7120	-59,2902	-55,7322
1460,7200	-59,0126	-56,7602
1460,7280	-59,1293	-58,1945
1460,7360	-59,1764	-56,5327
1460,7440	-59,2186	-57,8313
1460,7520	-59,5566	-57,1120
1460,7600	-58,9986	-57,2656
1460,7680	-58,7533	-57,8342
1460,7760	-58,5397	-58,4551
1460,7840	-58,8159	-58,6698
1460,7920	-59,2713	-57,6590
1460,8000	-58,7632	-56,7100
1460,8080	-59,1504	-57,4078
1460,8160	-58,8784	-57,0050
1460,8240	-58,5032	-56,8205
1460,8320	-59,1722	-56,9584
1460,8400	-59,4118	-57,1888
1460,8480	-59,2129	-58,6648
1460,8560	-59,6873	-58,2642
1460,8640	-59,7695	-56,9641
1460,8720	-59,7098	-56,5958
1460,8800	-59,5221	-57,6001
1460,8880	-59,6015	-58,0065
1460,8960	-59,6739	-57,1701
1460,9040	-59,6943	-56,6217
1460,9120	-59,6908	-57,5556
1460,9200	-59,3183	-58,4099
1460,9280	-59,2860	-58,3697
1460,9360	-59,4216	-57,3037
1460,9440	-59,0162	-58,6619
1460,9520	-58,9606	-58,4257
1460,9600	-59,0815	-57,7121
1460,9680	-58,7822	-57,6712
1460,9760	-59,1834	-56,9548
1460,9840	-58,9613	-56,8177
1460,9920	-58,5924	-57,6798
1461,0000	-58,7456	-57,7107
1461,0080	-59,5411	-56,7552
1461,0160	-58,6943	-57,0057
1461,0240	-59,5004	-58,5284
1461,0320	-58,5770	-57,9706
1461,0400	-58,4160	-58,2067
1461,0480	-58,8707	-57,8004
1461,0560	-58,9747	-58,2190
1461,0640	-58,8391	-58,3446
1461,0720	-59,1293	-57,9426
1461,0800	-59,5186	-57,7566
1461,0880	-59,3921	-58,7286
1461,0960	-59,1785	-58,9742
1461,1040	-59,3942	-58,7416
1461,1120	-58,4575	-58,5233
1461,1200	-58,4315	-58,7251
1461,1280	-58,8756	-57,6691
1461,1360	-59,0112	-57,7933
1461,1440	-58,2059	-57,6597
1461,1520	-58,5306	-57,7057
1461,1600	-58,9740	-56,5937
1461,1680	-59,4118	-57,4422
1461,1760	-59,1982	-58,1220
1461,1840	-58,9122	-57,8772
1461,1920	-59,5917	-58,5004
1461,2000	-59,4160	-57,9002
1461,2080	-58,8482	-58,2362
1461,2160	-59,4758	-57,7401
1461,2240	-58,8489	-57,5068
1461,2320	-59,5882	-57,7739
1461,2400	-59,3668	-56,8198
1461,2480	-58,6880	-56,3625
1461,2560	-58,7351	-57,2950
1461,2640	-59,6001	-56,4738
1461,2720	-59,4807	-56,6856
1461,2800	-59,0780	-56,3991
1461,2880	-58,9206	-58,4156
1461,2960	-59,3970	-57,6045
1461,3040	-58,6859	-58,0380
1461,3120	-59,1546	-57,9799
1461,3200	-59,4968	-57,9871
1461,3280	-58,9065	-58,3180
1461,3360	-58,5172	-58,7933
1461,3440	-58,8587	-58,6870
1461,3520	-58,7484	-58,0244
1461,3600	-58,3626	-57,7947
1461,3680	-58,2368	-56,9864
1461,3760	-58,9585	-57,1759
1461,3840	-58,3570	-57,5456
1461,3920	-59,3556	-58,1823
1461,4000	-58,4617	-58,3381
1461,4080	-58,6058	-58,2111
1461,4160	-59,5418	-57,4307
1461,4240	-59,2045	-56,6231
1461,4320	-59,1750	-57,7624
1461,4400	-59,2741	-58,9404
1461,4480	-59,8032	-58,4293
1461,4560	-59,0773	-57,7732
1461,4640	-59,0239	-58,2785
1461,4720	-58,8616	-58,0424
1461,4800	-58,4694	-58,3087
1461,4880	-58,8124	-58,1572
1461,4960	-58,6845	-57,2527
1461,5040	-59,0647	-57,9734
1461,5120	-59,3598	-57,9095
1461,5200	-59,8229	-58,1866
1461,5280	-58,9375	-58,4192
1461,5360	-59,2171	-58,3647
1461,5440	-58,9923	-57,0739
1461,5520	-59,1574	-57,8808
1461,5600	-59,0696	-57,3934
1461,5680	-59,4055	-56,3352
1461,5760	-59,8524	-57,3805
1461,5840	-59,1743	-57,2391
1461,5920	-59,2375	-58,6648
