
Date: 30/01/2023 18:18:16
Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 135
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Wvl (nm)	 CH 1 	 CH 2 

1460,0000	-58,2923	-56,2297
1460,0080	-58,4259	-57,4149
1460,0160	-58,2994	-57,4092
1460,0240	-58,5299	-57,5571
1460,0320	-58,9543	-58,2039
1460,0400	-59,4779	-58,0402
1460,0480	-58,7477	-58,0926
1460,0560	-59,2699	-57,3245
1460,0640	-59,7456	-57,2527
1460,0720	-59,3310	-57,8184
1460,0800	-58,8426	-57,5765
1460,0880	-59,0794	-56,7875
1460,0960	-58,9396	-56,8701
1460,1040	-59,5657	-57,7186
1460,1120	-59,1040	-58,4250
1460,1200	-59,3640	-58,5240
1460,1280	-59,5791	-58,7107
1460,1360	-59,3725	-58,0574
1460,1440	-59,1384	-58,2190
1460,1520	-59,0443	-58,1665
1460,1600	-59,3570	-57,6037
1460,1680	-59,4462	-57,2685
1460,1760	-58,7618	-58,1795
1460,1840	-59,1160	-57,7789
1460,1920	-58,8721	-57,7875
1460,2000	-58,4807	-57,9462
1460,2080	-58,6831	-57,7818
1460,2160	-58,8089	-57,3151
1460,2240	-58,6978	-57,3317
1460,2320	-58,9606	-58,0833
1460,2400	-59,4659	-59,0093
1460,2480	-59,4041	-59,0345
1460,2560	-59,1455	-58,5894
1460,2640	-59,0485	-57,8234
1460,2720	-59,4884	-58,6052
1460,2800	-59,2959	-58,6023
1460,2880	-59,1862	-58,3625
1460,2960	-59,4413	-57,7136
1460,3040	-59,5186	-57,2369
1460,3120	-58,9262	-58,6181
1460,3200	-59,0295	-58,3396
1460,3280	-59,2453	-58,1378
1460,3360	-58,7878	-58,3647
1460,3440	-58,6093	-58,8995
1460,3520	-58,6304	-57,7523
1460,3600	-58,9171	-57,5226
1460,3680	-59,3942	-57,2972
1460,3760	-59,5123	-58,5061
1460,3840	-59,4722	-59,0675
1460,3920	-59,5151	-58,2735
1460,4000	-59,8609	-57,3381
1460,4080	-59,8187	-57,9505
1460,4160	-59,3169	-57,5635
1460,4240	-58,9789	-58,2218
1460,4320	-59,3781	-57,5779
1460,4400	-59,5285	-57,3927
1460,4480	-59,0394	-57,8995
1460,4560	-58,7266	-57,4932
1460,4640	-59,1174	-57,1299
1460,4720	-59,6845	-56,3654
1460,4800	-59,8517	-56,7746
1460,4880	-58,9740	-57,1228
1460,4960	-59,0647	-56,7904
1460,5040	-58,7892	-56,7207
1460,5120	-57,7414	-57,7968
1460,5200	-58,9375	-57,5377
1460,5280	-58,4027	-58,1579
1460,5360	-58,0183	-58,5470
1460,5440	-58,4694	-58,1515
1460,5520	-58,9838	-57,8370
1460,5600	-58,6240	-57,8313
1460,5680	-58,5151	-57,2304
1460,5760	-59,6198	-56,5047
1460,5840	-58,9775	-57,9311
1460,5920	-58,7934	-57,9404
1460,6000	-59,3549	-58,5355
1460,6080	-59,0190	-58,1658
1460,6160	-58,1286	-57,6935
1460,6240	-58,2874	-58,3259
1460,6320	-58,3387	-58,7258
1460,6400	-58,8749	-58,3331
1460,6480	-58,9923	-57,9928
1460,6560	-58,7379	-58,0675
1460,6640	-58,5657	-58,1098
1460,6720	-59,3774	-57,7746
1460,6800	-59,0204	-57,8076
1460,6880	-58,9866	-57,8701
1460,6960	-59,2769	-57,8564
1460,7040	-59,3359	-58,1788
1460,7120	-59,2902	-57,4422
1460,7200	-59,0126	-57,4508
1460,7280	-59,1293	-58,1766
1460,7360	-59,1764	-56,3948
1460,7440	-59,2186	-56,8737
1460,7520	-59,5566	-57,4853
1460,7600	-58,9986	-57,5255
1460,7680	-58,7533	-57,0115
1460,7760	-58,5397	-58,1479
1460,7840	-58,8159	-57,4788
1460,7920	-59,2713	-55,9139
1460,8000	-58,7632	-56,7581
1460,8080	-59,1504	-56,0668
1460,8160	-58,8784	-57,0912
1460,8240	-58,5032	-57,3489
1460,8320	-59,1722	-57,5822
1460,8400	-59,4118	-58,2864
1460,8480	-59,2129	-57,1098
1460,8560	-59,6873	-57,1292
1460,8640	-59,7695	-57,6841
1460,8720	-59,7098	-57,8923
1460,8800	-59,5221	-57,9720
1460,8880	-59,6015	-57,6202
1460,8960	-59,6739	-56,4760
1460,9040	-59,6943	-57,3891
1460,9120	-59,6908	-57,1766
1460,9200	-59,3183	-57,2247
1460,9280	-59,2860	-56,6023
1460,9360	-59,4216	-56,3798
1460,9440	-59,0162	-57,0007
1460,9520	-58,9606	-57,3166
1460,9600	-59,0815	-57,0287
1460,9680	-58,7822	-57,2175
1460,9760	-59,1834	-56,9304
1460,9840	-58,9613	-56,5815
1460,9920	-58,5924	-56,2240
1461,0000	-58,7456	-56,8399
1461,0080	-59,5411	-56,8169
1461,0160	-58,6943	-57,3482
1461,0240	-59,5004	-57,8823
1461,0320	-58,5770	-57,6159
1461,0400	-58,4160	-56,9304
1461,0480	-58,8707	-56,1041
1461,0560	-58,9747	-56,3812
1461,0640	-58,8391	-57,7430
1461,0720	-59,1293	-57,2749
1461,0800	-59,5186	-57,1579
1461,0880	-59,3921	-57,1228
1461,0960	-59,1785	-57,1364
1461,1040	-59,3942	-57,6131
1461,1120	-58,4575	-57,5642
1461,1200	-58,4315	-56,5233
1461,1280	-58,8756	-57,4379
1461,1360	-59,0112	-57,8823
1461,1440	-58,2059	-57,7846
1461,1520	-58,5306	-57,8004
1461,1600	-58,9740	-57,8356
1461,1680	-59,4118	-57,3302
1461,1760	-59,1982	-57,6640
1461,1840	-58,9122	-58,9555
1461,1920	-59,5917	-58,9131
1461,2000	-59,4160	-58,1565
1461,2080	-58,8482	-56,9892
1461,2160	-59,4758	-58,9663
1461,2240	-58,8489	-58,8557
1461,2320	-59,5882	-58,4731
1461,2400	-59,3668	-58,0158
1461,2480	-58,6880	-58,2419
1461,2560	-58,7351	-57,1694
1461,2640	-59,6001	-58,0811
1461,2720	-59,4807	-59,0797
1461,2800	-59,0780	-58,2714
1461,2880	-58,9206	-57,8981
1461,2960	-59,3970	-57,6167
1461,3040	-58,6859	-58,1816
1461,3120	-59,1546	-58,1206
1461,3200	-59,4968	-57,5851
1461,3280	-58,9065	-57,1242
1461,3360	-58,5172	-57,3159
1461,3440	-58,8587	-57,7286
1461,3520	-58,7484	-57,2024
1461,3600	-58,3626	-57,6949
1461,3680	-58,2368	-57,8098
1461,3760	-58,9585	-58,2879
1461,3840	-58,3570	-58,3482
1461,3920	-59,3556	-58,8916
1461,4000	-58,4617	-58,0079
1461,4080	-58,6058	-58,0660
1461,4160	-59,5418	-58,2419
1461,4240	-59,2045	-57,0660
1461,4320	-59,1750	-56,3288
1461,4400	-59,2741	-57,2254
1461,4480	-59,8032	-57,1027
1461,4560	-59,0773	-56,2663
1461,4640	-59,0239	-57,4616
1461,4720	-58,8616	-58,0747
1461,4800	-58,4694	-57,4487
1461,4880	-58,8124	-57,9526
1461,4960	-58,6845	-57,8363
1461,5040	-59,0647	-57,4630
1461,5120	-59,3598	-57,5284
1461,5200	-59,8229	-57,2821
1461,5280	-58,9375	-56,4544
1461,5360	-59,2171	-56,0603
1461,5440	-58,9923	-56,7818
1461,5520	-59,1574	-57,4946
1461,5600	-59,0696	-57,4939
1461,5680	-59,4055	-57,9749
1461,5760	-59,8524	-57,9978
1461,5840	-59,1743	-57,6762
1461,5920	-59,2375	-57,9153
