
Date: 30/01/2023 18:13:12
Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 135
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Wvl (nm)	 CH 1 	 CH 2 

1460,0000	-58,2923	-58,6188
1460,0080	-58,4259	-57,8299
1460,0160	-58,2994	-57,7222
1460,0240	-58,5299	-57,8622
1460,0320	-58,9543	-58,0065
1460,0400	-59,4779	-58,3073
1460,0480	-58,7477	-58,2319
1460,0560	-59,2699	-58,1522
1460,0640	-59,7456	-57,7624
1460,0720	-59,3310	-58,1134
1460,0800	-58,8426	-58,2024
1460,0880	-59,0794	-57,3195
1460,0960	-58,9396	-56,8435
1460,1040	-59,5657	-57,3884
1460,1120	-59,1040	-57,2670
1460,1200	-59,3640	-58,3905
1460,1280	-59,5791	-58,4961
1460,1360	-59,3725	-57,0962
1460,1440	-59,1384	-57,5829
1460,1520	-59,0443	-58,1565
1460,1600	-59,3570	-58,2599
1460,1680	-59,4462	-57,9892
1460,1760	-58,7618	-58,0215
1460,1840	-59,1160	-58,5377
1460,1920	-58,8721	-58,1486
1460,2000	-58,4807	-58,2333
1460,2080	-58,6831	-57,7107
1460,2160	-58,8089	-58,9110
1460,2240	-58,6978	-58,2247
1460,2320	-58,9606	-57,7574
1460,2400	-59,4659	-57,1292
1460,2480	-59,4041	-56,6396
1460,2560	-59,1455	-57,7602
1460,2640	-59,0485	-58,6095
1460,2720	-59,4884	-58,2599
1460,2800	-59,2959	-57,8413
1460,2880	-59,1862	-57,4271
1460,2960	-59,4413	-58,1859
1460,3040	-59,5186	-58,9289
1460,3120	-58,9262	-58,9174
1460,3200	-59,0295	-59,0905
1460,3280	-59,2453	-58,0553
1460,3360	-58,7878	-57,4185
1460,3440	-58,6093	-57,0983
1460,3520	-58,6304	-56,9218
1460,3600	-58,9171	-57,2735
1460,3680	-59,3942	-58,2764
1460,3760	-59,5123	-57,5750
1460,3840	-59,4722	-58,1558
1460,3920	-59,5151	-57,2872
1460,4000	-59,8609	-57,6181
1460,4080	-59,8187	-56,8162
1460,4160	-59,3169	-57,0919
1460,4240	-58,9789	-56,2211
1460,4320	-59,3781	-55,8327
1460,4400	-59,5285	-56,8090
1460,4480	-59,0394	-58,3446
1460,4560	-58,7266	-58,4200
1460,4640	-59,1174	-57,3094
1460,4720	-59,6845	-57,5118
1460,4800	-59,8517	-58,6633
1460,4880	-58,9740	-58,5664
1460,4960	-59,0647	-57,1134
1460,5040	-58,7892	-57,7724
1460,5120	-57,7414	-56,9124
1460,5200	-58,9375	-57,2821
1460,5280	-58,4027	-58,9454
1460,5360	-58,0183	-58,3259
1460,5440	-58,4694	-57,3022
1460,5520	-58,9838	-57,5348
1460,5600	-58,6240	-58,3489
1460,5680	-58,5151	-57,5707
1460,5760	-59,6198	-57,6683
1460,5840	-58,9775	-57,5118
1460,5920	-58,7934	-57,3195
1460,6000	-59,3549	-57,9978
1460,6080	-59,0190	-58,9304
1460,6160	-58,1286	-57,4537
1460,6240	-58,2874	-58,2060
1460,6320	-58,3387	-58,9174
1460,6400	-58,8749	-57,5793
1460,6480	-58,9923	-57,8894
1460,6560	-58,7379	-57,2678
1460,6640	-58,5657	-57,9447
1460,6720	-59,3774	-58,4429
1460,6800	-59,0204	-57,4523
1460,6880	-58,9866	-57,9971
1460,6960	-59,2769	-58,3525
1460,7040	-59,3359	-58,0409
1460,7120	-59,2902	-57,9899
1460,7200	-59,0126	-57,6518
1460,7280	-59,1293	-58,8930
1460,7360	-59,1764	-58,4917
1460,7440	-59,2186	-57,7818
1460,7520	-59,5566	-56,9562
1460,7600	-58,9986	-57,7466
1460,7680	-58,7533	-58,1665
1460,7760	-58,5397	-58,0840
1460,7840	-58,8159	-58,1795
1460,7920	-59,2713	-57,8945
1460,8000	-58,7632	-58,0373
1460,8080	-59,1504	-58,3676
1460,8160	-58,8784	-58,5772
1460,8240	-58,5032	-58,8299
1460,8320	-59,1722	-59,1938
1460,8400	-59,4118	-58,9691
1460,8480	-59,2129	-57,8327
1460,8560	-59,6873	-57,2592
1460,8640	-59,7695	-58,4379
1460,8720	-59,7098	-58,5549
1460,8800	-59,5221	-58,4515
1460,8880	-59,6015	-57,6174
1460,8960	-59,6739	-56,9620
1460,9040	-59,6943	-56,6547
1460,9120	-59,6908	-57,0266
1460,9200	-59,3183	-57,9871
1460,9280	-59,2860	-58,5800
1460,9360	-59,4216	-58,6920
1460,9440	-59,0162	-58,0574
1460,9520	-58,9606	-58,4939
1460,9600	-59,0815	-59,0962
1460,9680	-58,7822	-58,5499
1460,9760	-59,1834	-58,6698
1460,9840	-58,9613	-58,5966
1460,9920	-58,5924	-58,4099
1461,0000	-58,7456	-57,8198
1461,0080	-59,5411	-57,4946
1461,0160	-58,6943	-57,0804
1461,0240	-59,5004	-57,5506
1461,0320	-58,5770	-58,3539
1461,0400	-58,4160	-57,6554
1461,0480	-58,8707	-57,6533
1461,0560	-58,9747	-58,4465
1461,0640	-58,8391	-57,6648
1461,0720	-59,1293	-57,3065
1461,0800	-59,5186	-57,1809
1461,0880	-59,3921	-57,1996
1461,0960	-59,1785	-57,1235
1461,1040	-59,3942	-57,6296
1461,1120	-58,4575	-58,1027
1461,1200	-58,4315	-58,5707
1461,1280	-58,8756	-57,7717
1461,1360	-59,0112	-57,4724
1461,1440	-58,2059	-57,3396
1461,1520	-58,5306	-57,7236
1461,1600	-58,9740	-57,7609
1461,1680	-59,4118	-58,4300
1461,1760	-59,1982	-57,5111
1461,1840	-58,9122	-58,7681
1461,1920	-59,5917	-58,8011
1461,2000	-59,4160	-57,8658
1461,2080	-58,8482	-58,2663
1461,2160	-59,4758	-58,4415
1461,2240	-58,8489	-57,5506
1461,2320	-59,5882	-57,0316
1461,2400	-59,3668	-57,0754
1461,2480	-58,6880	-56,8945
1461,2560	-58,7351	-57,4917
1461,2640	-59,6001	-58,2340
1461,2720	-59,4807	-57,6360
1461,2800	-59,0780	-58,6569
1461,2880	-58,9206	-59,3898
1461,2960	-59,3970	-57,6403
1461,3040	-58,6859	-57,5162
1461,3120	-59,1546	-58,0345
1461,3200	-59,4968	-58,9426
1461,3280	-58,9065	-58,6899
1461,3360	-58,5172	-57,8026
1461,3440	-58,8587	-57,8256
1461,3520	-58,7484	-58,1665
1461,3600	-58,3626	-58,9828
1461,3680	-58,2368	-58,6037
1461,3760	-58,9585	-57,6095
1461,3840	-58,3570	-57,8938
1461,3920	-59,3556	-57,4953
1461,4000	-58,4617	-56,8557
1461,4080	-58,6058	-57,5879
1461,4160	-59,5418	-57,6131
1461,4240	-59,2045	-55,7509
1461,4320	-59,1750	-57,6612
1461,4400	-59,2741	-58,5276
1461,4480	-59,8032	-58,5355
1461,4560	-59,0773	-58,3360
1461,4640	-59,0239	-57,7444
1461,4720	-58,8616	-57,7681
1461,4800	-58,4694	-57,6834
1461,4880	-58,8124	-57,8471
1461,4960	-58,6845	-58,7093
1461,5040	-59,0647	-58,3281
1461,5120	-59,3598	-57,7933
1461,5200	-59,8229	-58,1027
1461,5280	-58,9375	-58,0345
1461,5360	-59,2171	-57,2434
1461,5440	-58,9923	-56,2678
1461,5520	-59,1574	-57,1989
1461,5600	-59,0696	-58,4767
1461,5680	-59,4055	-57,4515
1461,5760	-59,8524	-57,0596
1461,5840	-59,1743	-57,7437
1461,5920	-59,2375	-57,7401
