
Date: 30/01/2023 18:02:33
Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 135
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Wvl (nm)	 CH 1 	 CH 2 

1460,0000	-58,2923	-57,1041
1460,0080	-58,4259	-57,2139
1460,0160	-58,2994	-58,0459
1460,0240	-58,5299	-58,2541
1460,0320	-58,9543	-58,4279
1460,0400	-59,4779	-57,9677
1460,0480	-58,7477	-57,7085
1460,0560	-59,2699	-58,3374
1460,0640	-59,7456	-58,1385
1460,0720	-59,3310	-57,9986
1460,0800	-58,8426	-57,6798
1460,0880	-59,0794	-58,2986
1460,0960	-58,9396	-57,9239
1460,1040	-59,5657	-57,5398
1460,1120	-59,1040	-57,4702
1460,1200	-59,3640	-57,7688
1460,1280	-59,5791	-58,4207
1460,1360	-59,3725	-57,9304
1460,1440	-59,1384	-57,4480
1460,1520	-59,0443	-58,0682
1460,1600	-59,3570	-58,0811
1460,1680	-59,4462	-58,3180
1460,1760	-58,7618	-57,9648
1460,1840	-59,1160	-58,4092
1460,1920	-58,8721	-58,0366
1460,2000	-58,4807	-57,8234
1460,2080	-58,6831	-58,5413
1460,2160	-58,8089	-58,7215
1460,2240	-58,6978	-58,0373
1460,2320	-58,9606	-56,9203
1460,2400	-59,4659	-57,7588
1460,2480	-59,4041	-58,9282
1460,2560	-59,1455	-58,7085
1460,2640	-59,0485	-58,2003
1460,2720	-59,4884	-58,2362
1460,2800	-59,2959	-57,4013
1460,2880	-59,1862	-57,0833
1460,2960	-59,4413	-57,1644
1460,3040	-59,5186	-57,9641
1460,3120	-58,9262	-58,9734
1460,3200	-59,0295	-57,7085
1460,3280	-59,2453	-56,8981
1460,3360	-58,7878	-57,7588
1460,3440	-58,6093	-57,8471
1460,3520	-58,6304	-57,5197
1460,3600	-58,9171	-56,9383
1460,3680	-59,3942	-57,5068
1460,3760	-59,5123	-57,9978
1460,3840	-59,4722	-57,5915
1460,3920	-59,5151	-57,4673
1460,4000	-59,8609	-57,6640
1460,4080	-59,8187	-57,6403
1460,4160	-59,3169	-56,0869
1460,4240	-58,9789	-56,1572
1460,4320	-59,3781	-57,3151
1460,4400	-59,5285	-57,4996
1460,4480	-59,0394	-57,4666
1460,4560	-58,7266	-57,5212
1460,4640	-59,1174	-57,6324
1460,4720	-59,6845	-57,4932
1460,4800	-59,8517	-57,7128
1460,4880	-58,9740	-57,5499
1460,4960	-59,0647	-58,1177
1460,5040	-58,7892	-58,1464
1460,5120	-57,7414	-58,3274
1460,5200	-58,9375	-58,3259
1460,5280	-58,4027	-57,4458
1460,5360	-58,0183	-57,5190
1460,5440	-58,4694	-57,0452
1460,5520	-58,9838	-57,8851
1460,5600	-58,6240	-57,6346
1460,5680	-58,5151	-56,7394
1460,5760	-59,6198	-57,1055
1460,5840	-58,9775	-57,5190
1460,5920	-58,7934	-58,2469
1460,6000	-59,3549	-58,0201
1460,6080	-59,0190	-57,8751
1460,6160	-58,1286	-58,5499
1460,6240	-58,2874	-58,8284
1460,6320	-58,3387	-57,6884
1460,6400	-58,8749	-57,8780
1460,6480	-58,9923	-58,1701
1460,6560	-58,7379	-57,8851
1460,6640	-58,5657	-57,4156
1460,6720	-59,3774	-56,6899
1460,6800	-59,0204	-57,7595
1460,6880	-58,9866	-57,1070
1460,6960	-59,2769	-58,1716
1460,7040	-59,3359	-58,4257
1460,7120	-59,2902	-58,4279
1460,7200	-59,0126	-58,3460
1460,7280	-59,1293	-57,1508
1460,7360	-59,1764	-58,4422
1460,7440	-59,2186	-58,1967
1460,7520	-59,5566	-57,1788
1460,7600	-58,9986	-57,9325
1460,7680	-58,7533	-57,7021
1460,7760	-58,5397	-57,6669
1460,7840	-58,8159	-57,5707
1460,7920	-59,2713	-58,3130
1460,8000	-58,7632	-58,8112
1460,8080	-59,1504	-58,2046
1460,8160	-58,8784	-57,7179
1460,8240	-58,5032	-57,0050
1460,8320	-59,1722	-58,1637
1460,8400	-59,4118	-57,5678
1460,8480	-59,2129	-58,2635
1460,8560	-59,6873	-58,8198
1460,8640	-59,7695	-58,5176
1460,8720	-59,7098	-58,1385
1460,8800	-59,5221	-57,8658
1460,8880	-59,6015	-58,5348
1460,8960	-59,6739	-58,7186
1460,9040	-59,6943	-58,2749
1460,9120	-59,6908	-57,3726
1460,9200	-59,3183	-56,5786
1460,9280	-59,2860	-56,8485
1460,9360	-59,4216	-56,5937
1460,9440	-59,0162	-57,2577
1460,9520	-58,9606	-57,0660
1460,9600	-59,0815	-57,8787
1460,9680	-58,7822	-58,0280
1460,9760	-59,1834	-58,6626
1460,9840	-58,9613	-58,2627
1460,9920	-58,5924	-57,6037
1461,0000	-58,7456	-57,6001
1461,0080	-59,5411	-58,0280
1461,0160	-58,6943	-58,0574
1461,0240	-59,5004	-58,0316
1461,0320	-58,5770	-57,3661
1461,0400	-58,4160	-56,8385
1461,0480	-58,8707	-57,7308
1461,0560	-58,9747	-57,4228
1461,0640	-58,8391	-57,2821
1461,0720	-59,1293	-57,1694
1461,0800	-59,5186	-57,8665
1461,0880	-59,3921	-58,5334
1461,0960	-59,1785	-57,9928
1461,1040	-59,3942	-59,2541
1461,1120	-58,4575	-58,3683
1461,1200	-58,4315	-57,5061
1461,1280	-58,8756	-58,4243
1461,1360	-59,0112	-58,7753
1461,1440	-58,2059	-58,7150
1461,1520	-58,5306	-59,1421
1461,1600	-58,9740	-59,0596
1461,1680	-59,4118	-58,1630
1461,1760	-59,1982	-58,0302
1461,1840	-58,9122	-58,6770
1461,1920	-59,5917	-59,1479
1461,2000	-59,4160	-58,8550
1461,2080	-58,8482	-58,2520
1461,2160	-59,4758	-58,8442
1461,2240	-58,8489	-58,4810
1461,2320	-59,5882	-57,9196
1461,2400	-59,3668	-57,7531
1461,2480	-58,6880	-57,5858
1461,2560	-58,7351	-57,9368
1461,2640	-59,6001	-57,9282
1461,2720	-59,4807	-57,7157
1461,2800	-59,0780	-58,0093
1461,2880	-58,9206	-58,8335
1461,2960	-59,3970	-59,0000
1461,3040	-58,6859	-57,8945
1461,3120	-59,1546	-58,6095
1461,3200	-59,4968	-58,5477
1461,3280	-58,9065	-58,2513
1461,3360	-58,5172	-58,3439
1461,3440	-58,8587	-58,0991
1461,3520	-58,7484	-57,8765
1461,3600	-58,3626	-57,0359
1461,3680	-58,2368	-57,0503
1461,3760	-58,9585	-58,5822
1461,3840	-58,3570	-57,2778
1461,3920	-59,3556	-57,1141
1461,4000	-58,4617	-57,1027
1461,4080	-58,6058	-56,5276
1461,4160	-59,5418	-57,3955
1461,4240	-59,2045	-56,6224
1461,4320	-59,1750	-56,2706
1461,4400	-59,2741	-57,8607
1461,4480	-59,8032	-58,4070
1461,4560	-59,0773	-58,3611
1461,4640	-59,0239	-58,4501
1461,4720	-58,8616	-57,8485
1461,4800	-58,4694	-58,4788
1461,4880	-58,8124	-58,4752
1461,4960	-58,6845	-58,3123
1461,5040	-59,0647	-58,2046
1461,5120	-59,3598	-58,5743
1461,5200	-59,8229	-57,8385
1461,5280	-58,9375	-58,0869
1461,5360	-59,2171	-57,3754
1461,5440	-58,9923	-56,6906
1461,5520	-59,1574	-57,7294
1461,5600	-59,0696	-58,3352
1461,5680	-59,4055	-58,1141
1461,5760	-59,8524	-58,0603
1461,5840	-59,1743	-58,3130
1461,5920	-59,2375	-58,4322
