
Date: 30/01/2023 18:07:49
Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 135
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Wvl (nm)	 CH 1 	 CH 2 

1460,0000	-58,2923	-58,3159
1460,0080	-58,4259	-57,5815
1460,0160	-58,2994	-58,3195
1460,0240	-58,5299	-58,1371
1460,0320	-58,9543	-58,1615
1460,0400	-59,4779	-58,3123
1460,0480	-58,7477	-57,4056
1460,0560	-59,2699	-57,8062
1460,0640	-59,7456	-57,6310
1460,0720	-59,3310	-58,0926
1460,0800	-58,8426	-58,7373
1460,0880	-59,0794	-58,2290
1460,0960	-58,9396	-58,1888
1460,1040	-59,5657	-57,3116
1460,1120	-59,1040	-56,4681
1460,1200	-59,3640	-57,4975
1460,1280	-59,5791	-57,5578
1460,1360	-59,3725	-58,1199
1460,1440	-59,1384	-57,5729
1460,1520	-59,0443	-57,6375
1460,1600	-59,3570	-57,0373
1460,1680	-59,4462	-57,1486
1460,1760	-58,7618	-57,2297
1460,1840	-59,1160	-57,9655
1460,1920	-58,8721	-56,9426
1460,2000	-58,4807	-57,9354
1460,2080	-58,6831	-57,3051
1460,2160	-58,8089	-56,5406
1460,2240	-58,6978	-57,5104
1460,2320	-58,9606	-58,8356
1460,2400	-59,4659	-59,3898
1460,2480	-59,4041	-58,7114
1460,2560	-59,1455	-58,3475
1460,2640	-59,0485	-58,3726
1460,2720	-59,4884	-59,0797
1460,2800	-59,2959	-58,2656
1460,2880	-59,1862	-58,5513
1460,2960	-59,4413	-58,8772
1460,3040	-59,5186	-58,7954
1460,3120	-58,9262	-56,9555
1460,3200	-59,0295	-57,6691
1460,3280	-59,2453	-57,6985
1460,3360	-58,7878	-57,9770
1460,3440	-58,6093	-57,7035
1460,3520	-58,6304	-58,1436
1460,3600	-58,9171	-58,6820
1460,3680	-59,3942	-58,0919
1460,3760	-59,5123	-58,1508
1460,3840	-59,4722	-58,4113
1460,3920	-59,5151	-58,2218
1460,4000	-59,8609	-58,2800
1460,4080	-59,8187	-57,4300
1460,4160	-59,3169	-56,2936
1460,4240	-58,9789	-57,2362
1460,4320	-59,3781	-58,3159
1460,4400	-59,5285	-57,4515
1460,4480	-59,0394	-57,2391
1460,4560	-58,7266	-58,0316
1460,4640	-59,1174	-58,2678
1460,4720	-59,6845	-58,3625
1460,4800	-59,8517	-57,6389
1460,4880	-58,9740	-57,5520
1460,4960	-59,0647	-57,3374
1460,5040	-58,7892	-57,7681
1460,5120	-57,7414	-57,9971
1460,5200	-58,9375	-58,2211
1460,5280	-58,4027	-57,9447
1460,5360	-58,0183	-58,1457
1460,5440	-58,4694	-58,3582
1460,5520	-58,9838	-57,4487
1460,5600	-58,6240	-56,9576
1460,5680	-58,5151	-57,4063
1460,5760	-59,6198	-57,5592
1460,5840	-58,9775	-57,0266
1460,5920	-58,7934	-57,3166
1460,6000	-59,3549	-58,9390
1460,6080	-59,0190	-57,9117
1460,6160	-58,1286	-57,2146
1460,6240	-58,2874	-57,0079
1460,6320	-58,3387	-57,3209
1460,6400	-58,8749	-57,1249
1460,6480	-58,9923	-57,1637
1460,6560	-58,7379	-58,1163
1460,6640	-58,5657	-58,1220
1460,6720	-59,3774	-57,5686
1460,6800	-59,0204	-57,0172
1460,6880	-58,9866	-57,6080
1460,6960	-59,2769	-57,0797
1460,7040	-59,3359	-58,2994
1460,7120	-59,2902	-58,3101
1460,7200	-59,0126	-57,9095
1460,7280	-59,1293	-58,2491
1460,7360	-59,1764	-57,9174
1460,7440	-59,2186	-58,4630
1460,7520	-59,5566	-58,0581
1460,7600	-58,9986	-58,5671
1460,7680	-58,7533	-58,7832
1460,7760	-58,5397	-58,4128
1460,7840	-58,8159	-57,4659
1460,7920	-59,2713	-57,5413
1460,8000	-58,7632	-58,2800
1460,8080	-59,1504	-57,1508
1460,8160	-58,8784	-58,4946
1460,8240	-58,5032	-58,3805
1460,8320	-59,1722	-58,8880
1460,8400	-59,4118	-57,5707
1460,8480	-59,2129	-57,9892
1460,8560	-59,6873	-57,6159
1460,8640	-59,7695	-57,6662
1460,8720	-59,7098	-58,3496
1460,8800	-59,5221	-57,8543
1460,8880	-59,6015	-57,5721
1460,8960	-59,6739	-57,7258
1460,9040	-59,6943	-57,9555
1460,9120	-59,6908	-57,6037
1460,9200	-59,3183	-57,3123
1460,9280	-59,2860	-57,8320
1460,9360	-59,4216	-58,8772
1460,9440	-59,0162	-58,2958
1460,9520	-58,9606	-58,2233
1460,9600	-59,0815	-57,8248
1460,9680	-58,7822	-57,3166
1460,9760	-59,1834	-57,5650
1460,9840	-58,9613	-57,4702
1460,9920	-58,5924	-57,7595
1461,0000	-58,7456	-58,3252
1461,0080	-59,5411	-57,4221
1461,0160	-58,6943	-57,2613
1461,0240	-59,5004	-58,4472
1461,0320	-58,5770	-58,3065
1461,0400	-58,4160	-57,3589
1461,0480	-58,8707	-57,2721
1461,0560	-58,9747	-57,4271
1461,0640	-58,8391	-57,1551
1461,0720	-59,1293	-57,2426
1461,0800	-59,5186	-58,1637
1461,0880	-59,3921	-58,7961
1461,0960	-59,1785	-58,1529
1461,1040	-59,3942	-57,3991
1461,1120	-58,4575	-57,0883
1461,1200	-58,4315	-58,0538
1461,1280	-58,8756	-57,6324
1461,1360	-59,0112	-58,0976
1461,1440	-58,2059	-57,0287
1461,1520	-58,5306	-57,3008
1461,1600	-58,9740	-56,9067
1461,1680	-59,4118	-58,3065
1461,1760	-59,1982	-58,9074
1461,1840	-58,9122	-58,5628
1461,1920	-59,5917	-58,5111
1461,2000	-59,4160	-57,9842
1461,2080	-58,8482	-57,7495
1461,2160	-59,4758	-58,4207
1461,2240	-58,8489	-58,4702
1461,2320	-59,5882	-57,8715
1461,2400	-59,3668	-56,8737
1461,2480	-58,6880	-57,4049
1461,2560	-58,7351	-57,1917
1461,2640	-59,6001	-57,4939
1461,2720	-59,4807	-58,1192
1461,2800	-59,0780	-57,6719
1461,2880	-58,9206	-57,1522
1461,2960	-59,3970	-57,4709
1461,3040	-58,6859	-58,2355
1461,3120	-59,1546	-57,7021
1461,3200	-59,4968	-57,0158
1461,3280	-58,9065	-57,6037
1461,3360	-58,5172	-57,6547
1461,3440	-58,8587	-58,2024
1461,3520	-58,7484	-57,9533
1461,3600	-58,3626	-58,2886
1461,3680	-58,2368	-56,9734
1461,3760	-58,9585	-56,8220
1461,3840	-58,3570	-57,2154
1461,3920	-59,3556	-58,1658
1461,4000	-58,4617	-58,5054
1461,4080	-58,6058	-57,2240
1461,4160	-59,5418	-56,2814
1461,4240	-59,2045	-57,8227
1461,4320	-59,1750	-58,1895
1461,4400	-59,2741	-57,5212
1461,4480	-59,8032	-57,0467
1461,4560	-59,0773	-56,9526
1461,4640	-59,0239	-57,3482
1461,4720	-58,8616	-57,4989
1461,4800	-58,4694	-57,2714
1461,4880	-58,8124	-57,0366
1461,4960	-58,6845	-57,7064
1461,5040	-59,0647	-57,9182
1461,5120	-59,3598	-57,7480
1461,5200	-59,8229	-57,5492
1461,5280	-58,9375	-59,0775
1461,5360	-59,2171	-58,2972
1461,5440	-58,9923	-58,4451
1461,5520	-59,1574	-57,8615
1461,5600	-59,0696	-57,2067
1461,5680	-59,4055	-58,4788
1461,5760	-59,8524	-57,9519
1461,5840	-59,1743	-58,3690
1461,5920	-59,2375	-58,8177
